Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11721,0.0,0,4021430.4,26,26,4,8858,3221,Mid-term,English,NOTICE,MAIL,101-500,Standard,False,True,True,False,False,True,False,False,True,False,True
11722,0.0,0,352226.85333333333,5,5,1,6954,3277,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,False,False,False,False,False,False,False,False,False,False,True
11723,0.0,0,529027.2000000001,18,18,2,10312,3498,Mid-term,English,AUTO RENEW,AUTO RENEW,51-100,Premier,False,True,False,True,False,False,False,False,False,False,True
11724,0.0,0,1029877.0,17,17,1,9172,2352,Mid-term,English,NOTICE,MAIL,101-500,Premier,False,True,False,False,False,False,False,False,False,False,True
11725,0.0,0,417490.4959999999,19,19,2,11592,2543,Mid-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,True,False,False,False,False,False,False,True
11726,0.0,0,301920.0,21,21,1,12930,2214,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11727,0.0,0,782285.7142857143,15,15,1,11363,3452,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11728,298.9257142857143,1,495020.98285714287,18,18,1,10161,2574,Mid-term,English,AUTO RENEW,WEB,6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
11729,665.8166666666668,1,495367.60000000015,8,8,1,2438,3024,Short-term,English,AUTO RENEW,AUTO RENEW,51-100,Premier,False,True,False,False,False,False,False,False,False,False,True
11730,0.0,0,1485627.7333333334,22,22,1,9248,2337,Mid-term,English,NOTICE,MAIL,101-500,Standard,False,True,False,False,False,False,False,False,False,False,True
11731,0.0,0,581152.0000000001,22,22,1,8792,2279,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11732,0.0,0,81958.83428571429,18,18,2,9004,2248,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,True,True
11733,0.0,0,250666.2857142857,18,18,1,9537,1810,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
11734,0.0,0,242349.12,21,21,2,8700,1810,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,False,False,False,False,False,False,False,False,True,True
11735,306.6019047619048,1,386318.4,21,21,1,10618,2617,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11736,0.0,0,29824.166666666664,1,1,0,4329,4684,Short-term,Unknown,NOTICE,MAIL,51-100,Premier,False,True,False,False,False,False,False,False,False,False,False
11737,0.0,0,164767.3386666667,13,13,1,11486,3096,Mid-term,Asian,AUTO RENEW,AUTO RENEW,1-5,Premier,False,False,False,False,False,False,False,False,False,False,True
11738,0.0,0,98321.60000000002,15,15,1,13203,2083,Mid-term,English,NOTICE,MAIL,11-50,Standard,False,False,False,False,False,False,False,False,False,False,True
11739,0.0,0,649983.0857142856,18,18,1,13495,2887,Mid-term,English,NOTICE,PHONE,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11740,0.0,0,330846.72000000003,23,23,1,11349,3994,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
11741,216.20952380952383,1,81078.57142857143,15,15,1,16340,2476,Long-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
11742,0.0,0,300084.00000000006,15,15,1,12108,2332,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
11743,0.0,0,384599.04,24,24,1,10420,4344,Mid-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
